slug,tour,start,surface,round,winner_id,winner_name,winner_ioc,loser_id,loser_name,loser_ioc,score
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,105583,Dusan Lajovic,SRB,208293,Gonzalo Bueno,PER,6-4 6-1
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,106065,Marco Cecchinato,ITA,209899,Ilia Simakin,RUS,6-3 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,106148,Roberto Carballes Baena,ESP,212077,Lorenzo Carboni,ITA,3-6 6-1 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,106281,Liam Broady,GBR,122554,David Jorda Sanchis,ESP,5-7 6-3 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,126504,Andrea Pellegrino,ITA,209874,Maks Kasnikowski,POL,4-6 7-6(5) 6-1
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,200329,Remy Bertola,SUI,211636,Lucio Ratti,ARG,6-4 4-6 6-2
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,202358,Chun Hsin Tseng,TPE,121411,Moez Echargui,TUN,6-4 1-6 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,207608,Timofey Skatov,KAZ,209147,Vilius Gaubas,LTU,4-6 6-4 6-2
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,208010,Pablo Llamas Ruiz,ESP,212020,Michele Ribecai,ITA,6-4 3-6 7-6(2)
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,208134,Luca Nardi,ITA,106177,Oriol Roca Batalla,ESP,6-4 7-6(5)
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,208316,Valentin Royer,FRA,200374,Nicolas Alvarez Varona,ESP,6-4 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,209506,Francesco Forti,ITA,125847,Jelle Sels,NED,6-0 7-6(4)
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,210012,Henrique Rocha,POR,133872,Enrico Dalla Valle,ITA,6-4 7-6(7)
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,210017,Daniel Merida Aguilar,ESP,211533,Gianluca Cadenasso,ITA,6-2 0-0 RET
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,213003,Pierluigi Basile,ITA,105882,Stefano Travaglia,ITA,7-6(3) 4-6 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,R32,213635,Jacopo Vasami,ITA,206470,Cezar Cretu,ROU,7-6(4) 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,SF,210012,Henrique Rocha,POR,207608,Timofey Skatov,KAZ,6-4 6-2
2026PerugiaChallenger,atp,2026-06-01,Clay,SF,210017,Daniel Merida Aguilar,ESP,126504,Andrea Pellegrino,ITA,6-3 5-7 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,F,202104,Sebastian Baez,ARG,144684,Alex Molcan,SVK,6-4 6-2
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,105413,Andrej Martin,SVK,211530,Tomasz Berkieta,POL,6-2 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,106121,Taro Daniel,JPN,212478,William Rejchtman Vinciguerra,SWE,6-2 7-6(3)
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,126340,Viktor Durasovic,NOR,210063,Matyas Cerny,CZE,6-4 7-6(4)
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,144716,Oleg Prihodko,UKR,211756,Michal Krajci,SVK,6-3 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,200309,Marek Gengel,CZE,207708,Dusan Obradovic,SRB,6-4 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,200366,Olukayode Alafia Damina Ayeni,USA,210556,Jakub Nicod,CZE,6-2 2-6 5-2 RET
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,207415,Daniel Michalski,POL,208343,Andrew Paulson,CZE,6-1 4-6 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,209931,Lukas Pokorny,SVK,144814,Eero Vasa,FIN,7-6(7) 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,209984,Milos Karol,SVK,208182,Saba Purtseladze,GEO,6-4 7-5
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,211618,Jan Kumstat,CZE,106227,Ji Sung Nam,KOR,6-4 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,Q1,212241,Carlo Alberto Caniato,ITA,209338,Daniel Siniakov,CZE,7-6(6) 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,Q2,105413,Andrej Martin,SVK,105180,Daniel Dutra Da Silva,BRA,6-2 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,Q2,106121,Taro Daniel,JPN,209931,Lukas Pokorny,SVK,6-4 6-0
2026ProstejovChallenger,atp,2026-06-01,Clay,Q2,126340,Viktor Durasovic,NOR,207415,Daniel Michalski,POL,6-0 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,Q2,209984,Milos Karol,SVK,200309,Marek Gengel,CZE,4-6 6-3 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,Q2,211618,Jan Kumstat,CZE,144716,Oleg Prihodko,UKR,6-4 6-7(10) 6-2
2026ProstejovChallenger,atp,2026-06-01,Clay,Q2,212241,Carlo Alberto Caniato,ITA,200366,Olukayode Alafia Damina Ayeni,USA,7-6(4) 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,QF,144684,Alex Molcan,SVK,126964,Vitaliy Sachko,UKR,3-6 6-1 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,QF,202104,Sebastian Baez,ARG,211617,Maxim Mrva,CZE,6-4 7-5
2026ProstejovChallenger,atp,2026-06-01,Clay,QF,207663,Nikolas Sanchez Izquierdo,ESP,210510,Lautaro Midon,ARG,6-7(6) 6-3 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,QF,210558,Hynek Barton,CZE,106121,Taro Daniel,JPN,7-6(4) 7-5
2026ProstejovChallenger,atp,2026-06-01,Clay,R16,106121,Taro Daniel,JPN,106000,Damir Dzumhur,BIH,6-4 4-6 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,R16,126964,Vitaliy Sachko,UKR,200240,Vit Kopriva,CZE,6-1 4-6 7-6(4)
2026ProstejovChallenger,atp,2026-06-01,Clay,R16,144684,Alex Molcan,SVK,209984,Milos Karol,SVK,6-3 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,R16,202104,Sebastian Baez,ARG,207729,Tristan Boyer,USA,6-2 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,R16,207663,Nikolas Sanchez Izquierdo,ESP,207686,Alexander Shevchenko,KAZ,7-6(8) 6-1
2026ProstejovChallenger,atp,2026-06-01,Clay,R16,210510,Lautaro Midon,ARG,144821,Genaro Alberto Olivieri,ARG,6-1 6-2
2026ProstejovChallenger,atp,2026-06-01,Clay,R16,210558,Hynek Barton,CZE,105613,Norbert Gombos,SVK,6-3 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,R16,211617,Maxim Mrva,CZE,208046,Pedro Boscardin Dias,BRA,6-4 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,105613,Norbert Gombos,SVK,126340,Viktor Durasovic,NOR,7-6(2) 3-6 7-6(3)
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,106000,Damir Dzumhur,BIH,207732,Miguel Damas,ESP,6-7(2) 6-4 7-5
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,106121,Taro Daniel,JPN,207797,Jonas Forejtek,CZE,7-6(3) 6-1
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,126964,Vitaliy Sachko,UKR,211618,Jan Kumstat,CZE,5-7 6-0 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,144684,Alex Molcan,SVK,200436,Zsombor Piros,HUN,6-2 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,144821,Genaro Alberto Olivieri,ARG,209322,Martin Krumich,CZE,6-3 1-6 7-6(2)
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,200240,Vit Kopriva,CZE,105413,Andrej Martin,SVK,6-0 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,202104,Sebastian Baez,ARG,209849,Sascha Gueymard Wayenburg,FRA,6-4 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,207663,Nikolas Sanchez Izquierdo,ESP,202146,Luka Pavlovic,FRA,6-3 4-6 6-3
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,207686,Alexander Shevchenko,KAZ,134840,Raul Brancaccio,ITA,7-6(5) 4-6 6-1
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,207729,Tristan Boyer,USA,202262,Filip Cristian Jianu,ROU,7-6(5) 6-4
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,208046,Pedro Boscardin Dias,BRA,133297,Yosuke Watanuki,JPN,1-6 7-6(5) 3-0 RET
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,209984,Milos Karol,SVK,212241,Carlo Alberto Caniato,ITA,7-6(3) 6-1
2026ProstejovChallenger,atp,2026-06-01,Clay,R32,210510,Lautaro Midon,ARG,144645,Zdenek Kolar,CZE,7-5 6-1
