player_id,hand,dob,ioc,height
200631,U,19700203,SWE,
200632,U,19720528,CZE,175
200633,U,19680319,USA,
200634,U,19710608,UKR,
200635,U,19670917,NED,
200636,U,19690304,AUS,
200637,R,19730612,AUS,171
200638,U,19740122,NED,
200639,U,19700228,NZL,
200640,R,19660627,ARG,180
200641,R,19680806,ARG,165
200642,U,19681118,SVK,
200643,U,19740318,NED,
200644,R,19730323,JPN,167
200645,U,19730925,GER,
200646,U,19710207,ITA,
200647,U,19720712,FRA,170
200648,R,19750714,GER,168
200649,R,19680914,USA,
200650,R,19681203,GER,
200651,U,19690712,GER,170
200652,L,19731202,USA,178
200653,R,19701130,INA,164
200654,U,19680118,USA,
200655,L,19690826,USA,177
200656,U,19700913,USA,
200657,R,19730212,CZE,172
200658,R,19730101,CHN,166
200659,R,19711206,JPN,157
200660,R,19711020,USA,157
200661,R,19711127,GBR,
200662,R,19740329,AUS,
200663,U,19700907,FIN,163
200664,R,19691105,USA,180
200665,R,19711122,JPN,164
200666,R,19721215,AUT,172
200667,R,19730613,ARG,169
200668,U,19700529,GER,
200669,R,19700825,USA,183
200670,U,19680729,FRA,
200671,R,19741122,GER,173
200672,R,19740529,SLO,
200673,R,19701205,USA,
200674,R,19681023,ARG,
200675,R,19680517,RUS,178
200676,R,19710206,JPN,160
200677,R,19710210,GER,
200678,R,19750724,ITA,163
200679,U,19660825,USA,
200680,R,19730202,CRO,177
200681,U,19720712,ITA,
200682,R,19730903,RSA,179
200683,R,19740805,NED,
200684,R,19731019,TPE,171
200685,R,19730609,SUI,
200686,U,19700525,AUT,174
200687,U,19690113,POL,173
200688,U,19721206,ESP,
200689,U,19670325,RSA,
200690,U,19740222,JPN,166
200691,R,19690129,ITA,159
200692,U,19700902,ITA,
200693,R,19730201,RUS,
200694,U,19690825,USA,
200695,R,19740318,SLO,175
200696,R,19730224,GRE,
200697,R,19740604,SVK,169
200698,R,19750414,GER,178
200699,U,19710428,USA,
200700,R,19720427,ITA,172
200701,R,19700304,NED,180
200702,R,19720326,JPN,164
200703,R,19720902,SVK,172
200704,U,19730525,ARG,171
200705,U,19660112,ITA,170
200706,R,19750602,ROU,178
200707,R,19760724,INA,
200708,R,19740910,USA,
200709,R,19750916,PAR,170
200710,U,19700822,POL,
200711,U,19740611,BLR,173
200712,U,19740220,CZE,
200713,R,19760401,JPN,161
200714,R,19770608,NED,175
200715,R,19710318,RSA,177
200716,R,19750217,KOR,165
200717,R,19770119,USA,
200718,U,19770307,CZE,180
200719,U,19780407,AUS,
200720,R,19770223,MAD,165
200721,U,19710720,JPN,
200722,L,19770712,ITA,168
200723,R,19770812,CRO,175
200724,R,19740210,FRA,173
200725,R,19650227,ITA,170
200726,L,19760205,BEL,160
200727,R,19760305,ITA,160
200728,R,19770222,AUT,
200729,R,19770628,USA,
200730,U,19710126,HKG,
