player_id,hand,dob,ioc,height
100698,R,19601004,KOR,183
100699,R,19601012,AUS,175
100700,R,19601018,CHI,178
100701,R,19601020,CRO,175
100702,R,19601024,USA,178
100703,R,19601105,USA,193
100704,L,19601111,USA,178
100705,R,19601112,USA,188
100706,R,19601114,USA,
100707,R,19601130,USA,188
100708,R,19601201,USA,
100709,R,19601202,USA,206
100710,R,19601208,USA,
100711,R,19601217,CHI,170
100712,R,19601225,USA,
100713,R,19601228,AUS,183
100714,L,19601231,AUS,183
100715,L,19610104,USA,175
100716,R,19610112,USA,180
100717,R,19610114,GBR,
100718,R,19610121,USA,
100719,R,19610129,ESP,178
100720,R,19610214,USA,193
100721,R,19610215,AUT,
100722,R,19610220,AUS,190
100723,R,19610225,FRA,
100724,L,19610309,USA,188
100725,R,19610312,DEN,188
100726,R,19610315,AUS,185
100727,L,19610317,ECU,190
100728,R,19610318,USA,185
100729,R,19610327,ESP,185
100730,R,19610329,ROU,180
100731,R,19610402,MEX,180
100732,R,19610408,ARG,
100733,R,19610408,KOR,173
100734,R,19610411,USA,
100735,R,19610413,USA,
100736,R,19610414,ECU,170
100737,R,19610416,USA,190
100738,R,19610416,RSA,
100739,R,19610420,ESP,
100740,R,19610429,USA,178
100741,R,19610430,USA,
100742,R,19610501,RSA,185
100743,R,19610502,USA,183
100744,R,19610502,AUS,190
100745,R,19610504,GER,
100746,R,19610505,USA,183
100747,L,19610509,USA,185
100748,R,19610512,GER,
100749,R,19610531,USA,
100750,R,19610601,USA,
100751,R,19610603,ARG,185
100752,R,19610605,IND,170
100753,R,19610618,CHI,
100754,R,19610621,CRC,
100755,R,19610701,GBR,
100756,R,19610705,RSA,
100757,R,19610713,SWE,180
100758,R,19610717,USA,
100759,L,19610726,RSA,180
100760,R,19610729,USA,
100761,R,19610730,USA,193
100762,R,19610802,RSA,
100763,R,19610809,USA,185
100764,R,19610816,ESP,173
100765,R,19610816,USA,188
100766,R,19610825,USA,185
100767,R,19610831,GER,
100768,R,19610903,GBR,190
100769,R,19610912,BOL,170
100770,R,19610913,GER,193
100771,R,19610920,USA,185
100772,R,19610921,NZL,175
100773,R,19610930,USA,183
100774,R,19611002,ARG,190
100775,R,19611004,RSA,
100776,R,19611009,USA,193
100777,R,19611010,USA,
100778,R,19611014,USA,
100779,R,19611014,RSA,188
100780,L,19611017,USA,185
100781,R,19611020,AUT,178
100782,R,19611021,PER,180
100783,R,19611026,USA,
100784,R,19611102,USA,
100785,R,19611111,ESP,170
100786,R,19611114,GER,
